step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
103,DEBIT,4066.704520576659,30413.96343026101,7623.541182745166,22292.52031206093,7735.517890482582,0
436,CASH_OUT,1135.7316785517387,62578.158887901605,10642.638000864796,24766.21688616826,72696.71144050104,0
271,TRANSFER,1573.8944725652684,78653.16328319695,13563.35413852901,27600.94586384291,28644.65081724662,0
107,PAYMENT,340.0981846159176,34070.85397519971,113467.87242887754,23866.16295319546,1648.6229507558432,0
72,PAYMENT,6353.483552259777,97239.87041802828,64106.9584111474,8461.0204230028,77520.52104507216,0
701,CASH_OUT,30888.940495970215,39499.93240970929,36220.44536433957,43387.6674271314,15023.91902810604,0
21,TRANSFER,1229.3088975395037,26521.731218590066,13069.278521244141,2756.2313056267226,14657.590489101125,1
615,PAYMENT,29236.812855996708,5704.574544169786,5289.121341653888,6632.640444535373,36078.92292558991,0
122,DEBIT,13218.615258122209,24995.403251858665,103061.41640717012,40340.52695678401,37893.548976972736,0
467,TRANSFER,10147.275024422757,66201.00533752244,100431.44812631613,9843.713099875118,15256.419453501068,1
215,PAYMENT,10364.202051108234,127096.97393718295,5279.206051665662,20405.355646305055,5412.500922008897,0
331,TRANSFER,17528.90635647988,14496.189418374546,71802.77357722796,11889.114375130846,28124.753240893187,0
459,CASH_OUT,1130.7896459521567,21943.508600771125,26629.004506218036,21216.239860597787,34345.74988770327,1
88,TRANSFER,7027.013235083013,8359.49070896156,17618.0979691964,12769.53548491144,68869.58543300646,1
373,PAYMENT,11943.23305057189,58675.88107614961,60463.59631929871,154538.27643480978,23187.554807842407,0
100,CASH_OUT,8838.730228097174,161179.88528347717,42874.74033628953,13270.607473339289,36316.00706591389,1
664,TRANSFER,17884.39412859406,51214.99035024718,68141.90676113767,29589.280633085236,1958.0738817698787,0
131,DEBIT,750.1637895018451,47996.006350812495,3475.6311818596178,65769.76668058474,78724.14946176329,0
662,PAYMENT,11734.46960108807,40314.66634245904,17261.40261858914,30477.945290992004,13871.573596186447,0
309,CASH_OUT,7636.291538904614,4630.756473562738,17309.62590194811,25031.456810454485,35009.56909729097,1
344,TRANSFER,4766.832708307244,65374.866328023614,18004.910197953606,25265.391247988595,86714.36646634183,1
492,DEBIT,4159.321705286529,46071.38813629564,31415.36697920141,20582.806138143955,58222.5815138233,0
414,PAYMENT,9697.775691983457,54158.127965674044,14971.441037703527,49442.30646408261,35535.266491562266,0
386,DEBIT,22163.649631970235,114538.30715161968,26445.472607454463,1552.193769841826,42562.51287406418,0
192,TRANSFER,6855.281315707297,76614.76731952194,20633.13167010493,64918.6026991361,88798.7479218235,1
277,TRANSFER,17413.886354149097,75914.83237791827,59811.44579228089,26477.862011620957,58513.31773351868,1
161,CASH_OUT,5144.260673309911,130990.81968381212,41628.65600951579,56689.086002897515,32943.65276662531,0
